Type;Immatriculation;Marque;Modele;Prix;Km;Etat;Divers1;Divers2
CampingCar;ZF-767-LL;Iveco;Daily;213;134265;Disponible;7.6;7
Voiture;WC-294-ZZ;Dacia;Jogger;65;102377;Disponible;4;Oui
Voiture;QX-801-XM;Audi;A1;114;192329;Disponible;4;Oui
Voiture;FM-297-GP;Ford;Puma;127;23005;Disponible;5;Oui
Voiture;MB-919-AE;BMW;Serie 4;92;166615;Disponible;4;Oui
CampingCar;XF-562-HB;Peugeot;Boxer;142;72123;Disponible;6.1;4
Voiture;XM-100-UF;Mini;Cooper;156;88476;Loué;7;Oui
Voiture;KO-259-DH;Seat;Ateca;121;27048;Disponible;5;Oui
CampingCar;MV-952-MV;Mercedes;Vito;219;137326;Disponible;6.0;4
Moto;RG-242-UR;Triumph;Speed Triple;143;23888;Disponible;650;A2
Voiture;VH-846-BE;Kia;Ceed;49;26273;Disponible;5;Oui
CampingCar;JN-283-JB;Fiat;Talento;294;47511;Disponible;8.0;6
Moto;XN-220-OM;Harley-Davidson;Road Glide;193;21243;Disponible;900;A
Voiture;GW-213-FK;Nissan;Juke;138;5881;Disponible;4;Oui
Voiture;CP-594-PL;Peugeot;108;191;63198;Loué;2;Oui
Voiture;TY-864-QS;Opel;Corsa;170;21556;Disponible;5;Non
Moto;CV-760-QW;Harley-Davidson;Pan America;134;32216;Disponible;1300;A
Voiture;KB-870-PN;Dacia;Jogger;71;52206;Disponible;7;Oui
Voiture;ZF-471-TV;Dacia;Jogger;94;122853;Disponible;5;Oui
Moto;RT-400-IJ;Harley-Davidson;Low Rider S;49;87838;Disponible;400;A2
CampingCar;BS-950-FJ;Ford;Transit 2T;102;54255;Loué;8.2;2
Moto;ED-998-IB;Ducati;Streetfighter V4;63;55744;Disponible;400;A2
Moto;LE-277-ZX;BMW;F900R;165;71147;Disponible;1100;A
Voiture;VQ-570-ZY;Toyota;bZ4X;75;187171;Disponible;7;Oui
Moto;QU-978-ZP;Royal Enfield;Interceptor 650;180;37803;Disponible;750;A
CampingCar;SA-263-RY;Volkswagen;Crafter;158;183110;Disponible;6.2;6
Moto;MC-283-WG;Harley-Davidson;Street Glide;184;29747;Disponible;650;A2
Moto;NH-089-CB;BMW;F750GS;168;76904;Disponible;650;A2
CampingCar;SO-714-RO;Peugeot;Rifter;267;147031;Disponible;7.2;7
Voiture;FJ-657-RA;Toyota;Highlander;165;104378;Disponible;4;Non
Voiture;ZD-551-TJ;Nissan;Micra;91;194854;Loué;5;Oui
Voiture;RP-471-GP;Seat;Ateca;33;93014;Disponible;9;Oui
Moto;MA-333-TR;Suzuki;Hayabusa;223;7896;Disponible;500;A2
Moto;GU-592-WY;KTM;Adventure 390;244;69118;Disponible;1800;A
Voiture;WS-534-NR;Dacia;Spring;87;27948;Loué;5;Oui
Voiture;OT-639-TX;BMW;Serie 1;140;114799;Disponible;5;Oui
Voiture;PO-871-PS;Ford;Focus;103;190149;Loué;5;Oui
Voiture;NB-712-JC;Seat;Arona;126;32171;Disponible;5;Oui
Voiture;EV-210-HH;Hyundai;Kona;125;153458;Disponible;4;Oui
CampingCar;HS-524-FP;Mercedes;Vito;196;135865;Loué;5.4;5
Moto;SW-305-YK;BMW;F900R;244;1842;Disponible;750;A
CampingCar;TZ-940-YX;Renault;Kangoo;379;99749;Disponible;7.9;5
Voiture;MU-237-VR;Mini;Cooper;41;128022;En maintenance;9;Oui
CampingCar;CI-995-ZD;Volkswagen;Grand California;310;146987;Disponible;8.3;4
Voiture;SX-804-VD;Volvo;XC90;157;80496;Disponible;7;Oui
Voiture;IC-631-NZ;Citroën;C3 Aircross;131;70023;Disponible;9;Non
Moto;AW-918-RF;BMW;R1250RT;84;96751;Loué;1300;A
Voiture;QK-929-NK;Peugeot;Rifter;87;116722;Disponible;9;Non
CampingCar;NN-778-FS;Volkswagen;Caddy California;372;31922;Disponible;5.8;3
Voiture;MC-015-PJ;Peugeot;108;33;194106;Disponible;7;Oui
Voiture;JD-721-MS;Volvo;XC90;92;66534;Disponible;5;Oui
CampingCar;CA-354-OL;Peugeot;Rifter;104;240387;Disponible;6.8;2
Voiture;QB-906-AA;Peugeot;Rifter;93;165165;Loué;5;Oui
Voiture;XC-249-IS;Mini;Clubman;155;58419;Disponible;4;Oui
Voiture;CH-141-HQ;Volvo;XC40;63;94777;Loué;5;Oui
Voiture;WH-296-IH;Fiat;500;66;105721;Disponible;2;Oui
Moto;US-061-DQ;Suzuki;SV650;69;20743;Loué;500;A2
Voiture;ZR-151-GU;Fiat;500X;199;135455;Disponible;2;Non
Voiture;GY-210-RT;Peugeot;408;87;24258;Disponible;5;Oui
Moto;WT-873-GQ;Suzuki;V-Strom 1050;223;84425;Loué;800;A
Voiture;AJ-683-PA;Seat;Tarraco;75;87927;Disponible;5;Non
Voiture;FL-149-FP;BMW;X3;183;176377;Loué;9;Oui
Voiture;BV-681-UW;Hyundai;i10;122;183146;Disponible;7;Oui
Voiture;RU-922-GY;Tesla;Model 3;111;43101;Loué;5;Oui
Moto;JV-299-VG;Yamaha;Tracer 7;74;89868;Disponible;600;A2
Moto;EY-800-UB;Suzuki;SV650;80;30271;Loué;400;A2
CampingCar;WR-448-GS;Fiat;Scudo;144;242046;Disponible;8.4;2
Voiture;GW-345-AK;Citroën;C5 X;80;135442;Loué;9;Non
Moto;LJ-365-TB;Kawasaki;Versys 650;202;65145;Disponible;900;A
CampingCar;QN-704-HY;Volkswagen;Caddy California;247;44497;Disponible;7.4;7
Voiture;BJ-167-XS;Renault;Espace;116;68349;En maintenance;7;Oui
Moto;JK-082-UO;Yamaha;MT-07;219;14891;Loué;1000;A
Voiture;FW-519-GP;Skoda;Karoq;195;51658;Disponible;5;Oui
Voiture;OY-794-JK;Dacia;Duster;89;100767;Loué;7;Oui
CampingCar;JV-372-FV;Citroën;Jumper;142;77576;Disponible;8.8;2
Voiture;DJ-500-EV;Volvo;XC90;107;169186;Disponible;4;Oui
Moto;LV-631-EC;Kawasaki;Z900RS;91;74366;Disponible;1300;A
CampingCar;BG-063-CC;Citroën;Berlingo;304;79860;Loué;5.9;5
Voiture;JV-280-WH;Skoda;Fabia;37;59157;En maintenance;5;Non
Voiture;MV-671-UH;Fiat;Panda;177;90613;Disponible;5;Oui
CampingCar;CG-066-TT;Volkswagen;California;300;137006;Disponible;8.2;4
Voiture;TN-969-SD;Citroën;C4 X;194;41131;Disponible;9;Oui
CampingCar;IR-265-EI;Peugeot;Boxer;391;73642;Loué;7.1;6
Voiture;LT-977-RI;Seat;Tarraco;144;7517;Disponible;4;Oui
Voiture;NF-837-TI;Citroën;C3;138;187320;Disponible;9;Oui
Voiture;HE-610-ME;Volvo;C40;86;170763;Disponible;5;Oui
Voiture;OG-573-SO;Citroën;C4 X;112;117187;Loué;5;Oui
CampingCar;BW-624-GT;Ford;Ranger (Cellule);371;66236;Loué;8.5;2
Voiture;HW-544-DX;Nissan;X-Trail;170;157816;Disponible;5;Oui
Voiture;TO-564-WZ;Fiat;500;80;180947;En maintenance;4;Oui
Voiture;QK-497-UU;Toyota;RAV4;151;122610;Loué;9;Oui
Voiture;VA-997-JJ;Ford;Mustang Mach-E;104;22672;Disponible;2;Oui
Voiture;UV-744-DP;Dacia;Sandero;93;55878;Loué;5;Oui
Voiture;ZB-339-PC;Hyundai;i20;74;13445;Disponible;5;Oui
CampingCar;NW-434-PA;Mercedes;Marco Polo;101;49222;Disponible;7.7;3
Moto;AN-342-IE;KTM;Adventure 890;92;358;Disponible;650;A2
Moto;AW-835-XD;Ducati;Monster;91;28824;Disponible;1300;A
CampingCar;GZ-020-GL;Ford;Transit 2T;397;210316;Disponible;8.0;6
Voiture;NQ-480-JQ;Nissan;Qashqai;74;26524;Disponible;5;Non
Voiture;FR-306-PP;Skoda;Scala;90;142070;Disponible;5;Oui
Voiture;ML-702-CX;BMW;i4;126;89008;Loué;5;Oui
Voiture;AO-819-WF;Opel;Crossland;76;143547;Disponible;5;Oui
Voiture;SE-589-WZ;Citroën;Berlingo;165;165679;Disponible;2;Oui
Voiture;ZM-064-IH;Mercedes;EQB;133;96848;Loué;9;Oui
Moto;FK-127-NW;Royal Enfield;Interceptor 650;96;37933;Disponible;1000;A
CampingCar;VQ-660-YC;Renault;Master;360;173732;Disponible;8.6;7
Moto;BJ-675-QM;Kawasaki;Z900;54;24085;Disponible;800;A
Voiture;RA-107-HT;Dacia;Spring;32;66617;Disponible;5;Non
CampingCar;JJ-895-HI;Mercedes;Sprinter;252;204598;Disponible;6.3;7
Voiture;KI-910-EI;Volvo;S60;101;32204;Disponible;4;Oui
Voiture;XT-332-PP;Audi;Q7;164;169680;Disponible;5;Oui
CampingCar;YH-331-NE;Mercedes;Sprinter;205;236905;Disponible;6.2;3
Voiture;YJ-478-SH;Kia;Ceed;147;150044;Disponible;5;Oui
CampingCar;MV-005-NX;Citroën;SpaceTourer;132;233795;Loué;8.9;5
CampingCar;HX-648-EI;Ford;Transit 2T;106;200834;Disponible;7.4;6
Moto;WL-010-HC;Royal Enfield;Meteor 350;203;4586;Disponible;1300;A
Moto;IX-743-CF;Yamaha;XMAX;191;27669;Disponible;400;A2
Voiture;RD-635-QM;Opel;Corsa;196;170189;Disponible;4;Oui
Moto;OG-102-DR;Royal Enfield;Interceptor 650;117;2735;Disponible;300;A2
Voiture;ZI-073-UX;Citroën;C3;48;33896;Loué;9;Oui
CampingCar;IE-586-SH;Ford;Transit Custom;234;150704;Disponible;8.6;3
Voiture;PR-558-QE;Skoda;Superb;129;62163;Disponible;5;Oui
Moto;IY-256-PY;Kawasaki;Z650;167;10248;Disponible;750;A
Voiture;XT-852-JK;Nissan;Juke;79;43197;Disponible;9;Oui
Voiture;UL-169-ED;Audi;Q3;54;121448;Disponible;2;Non
CampingCar;FV-439-DM;Iveco;Daily;238;150048;Disponible;8.8;7
Moto;EC-018-TV;KTM;Super Duke 1290;215;70931;Disponible;125;A2
CampingCar;RS-303-RT;Fiat;Ducato;179;27498;Disponible;8.9;6
Moto;JI-736-GM;KTM;Adventure 390;59;77862;Disponible;1800;A
Voiture;YY-124-FF;Nissan;Micra;145;52171;Disponible;2;Oui
Voiture;LL-575-ME;Tesla;Model S;111;101132;Disponible;2;Oui
Voiture;DG-192-UH;Nissan;Qashqai;46;43630;En maintenance;9;Oui
Voiture;GY-692-ND;Audi;Q3;83;167394;Disponible;5;Oui
CampingCar;ZS-911-XL;Volkswagen;California;377;240539;Disponible;8.8;7
Voiture;JE-921-IM;Mini;Cooper;55;61049;Disponible;4;Oui
Voiture;FK-577-DD;Renault;Clio;84;65980;Loué;9;Oui
CampingCar;PK-179-QO;Volkswagen;Caddy California;396;190748;Disponible;8.7;6
Voiture;FM-707-OA;Dacia;Spring;165;165602;Disponible;5;Non
Voiture;NH-685-OG;Citroën;C4 X;118;70106;Disponible;5;Oui
CampingCar;BZ-887-IC;Ford;Transit 2T;167;87190;Disponible;6.5;4
Voiture;TF-241-ST;Seat;Ateca;150;65585;Disponible;5;Oui
Moto;QG-823-FX;Harley-Davidson;Low Rider S;217;23793;Disponible;750;A
Voiture;FR-738-GB;Kia;Picanto;171;70337;Disponible;5;Oui
Moto;LZ-220-ZL;BMW;R18;244;9444;Disponible;125;A2
Voiture;UJ-441-CD;Volkswagen;Up!;196;175849;Disponible;9;Oui
Voiture;YZ-295-AQ;Fiat;Tipo;117;14896;En maintenance;4;Oui
Voiture;EJ-510-LG;Seat;Leon;121;107224;Disponible;5;Oui
CampingCar;UV-804-EA;Peugeot;Traveller;145;140008;Loué;8.9;7
Voiture;UM-172-KM;Mini;Cooper S;93;147766;Disponible;7;Oui
Voiture;YI-057-BH;Mercedes;CLA;90;171526;Loué;5;Oui
Moto;SZ-872-OO;Harley-Davidson;Road Glide;166;29178;Disponible;300;A2
Moto;HV-675-TW;KTM;Super Duke 1290;216;23805;Loué;600;A2
Voiture;VH-398-HD;BMW;Serie 4;38;95859;Loué;5;Oui
Voiture;TS-942-BI;Mini;Clubman;122;117613;Disponible;5;Oui
Voiture;HH-961-AM;Ford;Kuga;51;183674;Disponible;5;Oui
Moto;JZ-334-ZD;KTM;Adventure 890;153;77204;Disponible;1800;A
Voiture;VU-701-RQ;Hyundai;i20;115;43518;Disponible;5;Non
CampingCar;SP-857-GT;Citroën;SpaceTourer;267;237235;Disponible;6.3;3
Voiture;NF-334-KO;Volvo;C40;111;18619;Disponible;9;Oui
CampingCar;HP-067-NH;Volkswagen;California;392;126608;Loué;8.5;7
Voiture;BY-847-IU;Audi;Q8;124;116655;Disponible;5;Oui
Moto;HA-456-BA;Suzuki;V-Strom 1050;240;83806;Disponible;1000;A
Moto;NT-943-KV;Ducati;Diavel V4;81;59141;En maintenance;300;A2
Moto;OS-798-OS;Triumph;Trident 660;122;89392;Disponible;650;A2
Voiture;DH-070-OS;Renault;Megane;105;107882;Loué;5;Non
Voiture;EO-751-UJ;Toyota;bZ4X;161;33746;Disponible;7;Oui
Voiture;LC-909-QT;Skoda;Octavia;154;138716;Disponible;7;Oui
Voiture;RX-755-UY;Fiat;500X;91;136882;Loué;9;Oui
Voiture;EV-175-YA;Seat;Ateca;79;169934;Disponible;4;Oui
Voiture;YN-759-KV;Ford;Puma;65;133681;Loué;4;Non
Moto;YP-610-BT;Suzuki;GSX-S1000GT;241;15181;Loué;750;A
CampingCar;KH-213-QW;Volkswagen;Grand California;132;235667;Disponible;6.6;3
CampingCar;TE-240-TF;Fiat;Ducato;138;15445;En maintenance;6.0;3
Voiture;UA-513-RA;BMW;X2;72;9877;Disponible;7;Oui
CampingCar;SY-829-CT;Iveco;Daily;126;159896;Loué;7.5;2
Moto;JK-509-QS;Harley-Davidson;Street Glide;77;63673;Loué;500;A2
CampingCar;PV-661-MP;Renault;Master;115;245830;Disponible;5.1;2
Voiture;LC-447-WD;Peugeot;208;162;22613;Disponible;4;Oui
Voiture;YO-504-FB;Hyundai;Santa Fe;68;159167;Disponible;5;Oui
Voiture;OE-595-MB;Seat;Arona;176;124655;Disponible;4;Oui
Moto;OO-278-WV;Honda;CB500F;156;96022;Disponible;1800;A
Voiture;WD-797-HY;Citroën;C5 Aircross;143;131632;Disponible;9;Oui
Moto;RR-197-WA;Royal Enfield;Classic 350;208;58093;En maintenance;800;A
Moto;GE-596-KA;Triumph;Tiger 1200;127;85687;Disponible;1100;A
Voiture;UF-664-WW;BMW;Serie 5;126;6962;En maintenance;2;Oui
Voiture;NM-465-KK;Audi;Q7;194;194961;Disponible;5;Oui
Voiture;RC-755-LH;Mini;Countryman;165;73537;Disponible;5;Oui
Voiture;FT-705-XT;Mercedes;GLB;100;177020;Disponible;5;Oui
Moto;HR-604-RT;Suzuki;GSX-S1000GT;173;4162;Disponible;1000;A
Voiture;HY-768-LN;Peugeot;3008;105;168665;Disponible;9;Oui
Voiture;WW-764-CO;Nissan;Micra;110;184202;Disponible;7;Oui
CampingCar;YD-996-BT;Volkswagen;California;286;53280;En maintenance;6.3;4
Voiture;PG-136-OQ;Kia;Rio;143;193615;Disponible;9;Oui
CampingCar;YN-700-VF;Mercedes;Sprinter;107;46253;Loué;5.8;6
Voiture;BJ-927-RE;Ford;Kuga;189;130097;Disponible;5;Oui
Moto;QC-818-TM;Kawasaki;Versys 1000;158;60598;Disponible;300;A2
Moto;SC-282-CM;BMW;F900XR;93;18371;Disponible;800;A
CampingCar;UA-316-IY;Renault;Master;379;187480;Loué;8.1;4
Moto;QC-754-ZA;Yamaha;R1;235;52173;Loué;1250;A
CampingCar;AB-754-WU;Fiat;Talento;366;117662;Loué;8.1;2
Voiture;WO-985-ZK;Citroën;C3;165;168746;Loué;5;Oui
Moto;UV-253-SL;BMW;F750GS;203;33340;Disponible;750;A
Moto;ME-012-SJ;BMW;S1000XR;140;65588;Disponible;1250;A
Voiture;KR-781-QR;Kia;Ceed;124;140328;Disponible;5;Oui
Voiture;HA-566-DA;Mercedes;GLB;60;37108;Loué;9;Oui
Voiture;ZI-926-IP;Ford;Fiesta;181;90143;Disponible;7;Oui
Voiture;LO-271-FK;Hyundai;Tucson;177;126816;Loué;2;Oui
Moto;UH-756-TB;BMW;R18;183;8772;Loué;1250;A
Voiture;KY-663-CA;Kia;Sportage;135;62210;Disponible;4;Oui
Moto;EJ-820-IR;Kawasaki;Z900RS;209;77694;Loué;400;A2
Voiture;OP-365-WB;BMW;Serie 1;56;180242;Disponible;9;Oui
CampingCar;TE-619-OW;Mercedes;Sprinter;317;30358;Disponible;6.7;6
Voiture;DV-653-NB;Skoda;Enyaq;160;96324;Disponible;2;Oui
CampingCar;OP-472-GF;Citroën;SpaceTourer;229;43500;Disponible;7.7;6
Voiture;OJ-706-FD;Audi;Q2;194;71912;Disponible;5;Oui
Voiture;GK-340-MR;Ford;Puma;120;7754;Disponible;5;Non
Moto;RM-033-GH;Ducati;Scrambler;224;56322;Disponible;1250;A
Moto;DR-147-YM;KTM;Duke 890;192;48323;Disponible;1100;A
Voiture;LG-459-TS;Audi;Q7;122;167753;Disponible;5;Oui
Voiture;LG-029-RD;Audi;A6;62;176060;Disponible;9;Oui
Voiture;DS-341-GV;Opel;Corsa;148;119234;Loué;2;Oui
Moto;ME-294-ZZ;Yamaha;XSR900;172;93416;Disponible;650;A2
Voiture;LD-603-DX;Peugeot;508;93;191368;Disponible;9;Oui
Voiture;QK-074-IH;Volkswagen;Polo;141;140116;Disponible;5;Oui
Moto;DJ-978-DA;KTM;Duke 390;234;4712;Disponible;650;A2
Voiture;TF-008-TW;Ford;Kuga;160;106618;Loué;4;Non
Voiture;XS-811-SN;Mini;Clubman;99;62987;Disponible;5;Oui
CampingCar;NO-949-PT;Ford;Ranger (Cellule);271;134646;Disponible;7.7;5
Voiture;CL-435-YP;Mini;Cooper;164;41598;Disponible;7;Oui
Voiture;RP-253-JZ;Opel;Mokka;167;136688;Disponible;4;Oui
Voiture;HT-325-XX;Opel;Grandland;182;166150;Disponible;9;Non
Voiture;GG-050-RD;Mercedes;GLB;132;90755;Loué;9;Oui
Voiture;PK-429-OA;Hyundai;i30;185;32180;Loué;5;Oui
Voiture;NA-406-SS;Dacia;Jogger;186;130786;En maintenance;4;Oui
Voiture;WT-988-UV;Nissan;X-Trail;79;137607;Disponible;7;Non
Voiture;IU-700-ZA;Audi;Q5;158;192846;Disponible;4;Oui
Voiture;CQ-285-HR;Fiat;500X;97;43779;Disponible;2;Oui
Voiture;ZS-149-KI;Renault;Twingo;101;10082;Disponible;5;Oui
CampingCar;SN-895-ZJ;Iveco;Daily;263;232116;Disponible;5.2;5
Moto;QI-222-JG;Suzuki;V-Strom 650;70;11774;Disponible;400;A2
Moto;MP-413-GM;Suzuki;GSX-S750;127;37537;Disponible;900;A
Voiture;KZ-233-SS;Skoda;Octavia;82;180948;Disponible;5;Oui
Moto;HW-875-QW;Kawasaki;Versys 650;231;75946;Loué;800;A
Moto;HR-390-SA;Yamaha;R6;104;42330;Disponible;1000;A
Voiture;MO-104-LC;Audi;Q2;56;174292;Disponible;2;Oui
Voiture;ON-744-UX;Peugeot;Rifter;66;79598;Disponible;5;Oui
CampingCar;BM-015-RP;Peugeot;Boxer;158;85460;Disponible;6.6;5
Moto;QL-578-TP;Royal Enfield;Meteor 350;226;6804;Disponible;1000;A
Moto;TJ-758-CY;Suzuki;SV650;155;70349;Disponible;125;A2
Moto;FR-904-XU;Suzuki;SV650;140;66891;Disponible;125;A2
Voiture;CE-555-NM;Seat;Tarraco;178;161959;Disponible;5;Oui
Moto;YS-041-AH;Triumph;Rocket 3;191;25429;Disponible;1100;A
Voiture;QJ-019-UM;Fiat;500;151;27055;Disponible;2;Non
Voiture;TD-524-NG;BMW;X5;38;93267;Loué;4;Oui
CampingCar;OQ-262-VL;Volkswagen;Grand California;350;62072;Disponible;5.6;4
Moto;BL-970-HS;BMW;S1000XR;109;48590;Disponible;1250;A
Voiture;QX-984-PO;Tesla;Model Y;100;78531;Loué;5;Oui
Voiture;AG-842-RD;Renault;Megane;153;18028;Disponible;5;Oui
Voiture;BX-306-QC;Mercedes;GLC;112;111113;Disponible;2;Oui
Voiture;JD-199-KF;Kia;Sportage;176;17447;Loué;5;Oui
Moto;OR-311-MC;Honda;Gold Wing;139;56942;Disponible;400;A2
CampingCar;IB-929-JP;Renault;Master;213;123439;Loué;8.7;6
Voiture;PQ-473-PU;Fiat;500X;59;43885;Disponible;5;Oui
Moto;WW-880-WI;Honda;Forza 350;238;10206;Disponible;300;A2
CampingCar;GC-927-CB;Iveco;Daily;128;204182;Loué;7.9;3
Moto;IB-607-SG;Triumph;Bonneville T100;161;28852;Disponible;300;A2
CampingCar;UA-375-VT;Mercedes;Vito;248;207424;Disponible;5.0;6
Moto;FV-963-WQ;Yamaha;R1;237;29058;Disponible;600;A2
Moto;NM-302-MT;Triumph;Bonneville T120;131;60623;Disponible;1300;A
Voiture;YL-599-CP;Tesla;Model Y;103;86915;Loué;9;Oui
Voiture;CR-206-XQ;Opel;Crossland;36;177268;Disponible;5;Oui
Voiture;HK-513-WQ;Mini;Cooper S;187;108941;Loué;5;Non
Moto;LV-917-RU;KTM;Super Duke 1290;121;19342;Disponible;900;A
CampingCar;YQ-846-BK;Iveco;Daily;166;28913;Disponible;5.2;2
Voiture;AC-948-HL;Hyundai;Tucson;71;166499;Loué;5;Oui
CampingCar;TV-935-AS;Volkswagen;Grand California;192;232239;Disponible;8.7;2
Voiture;NZ-845-SS;Kia;Rio;141;25572;Disponible;5;Oui
Voiture;DC-756-MR;Mini;Cooper S;79;2100;Disponible;5;Oui
Moto;QW-834-HS;BMW;CE 04;160;51362;Disponible;500;A2
CampingCar;SY-427-DH;Peugeot;Boxer;135;100687;Disponible;7.0;3
Voiture;OI-149-RP;Audi;A1;112;44663;Disponible;2;Oui
Voiture;NR-529-BB;Dacia;Sandero;162;183956;Loué;5;Non
Moto;XD-424-BT;Royal Enfield;Classic 350;110;96257;Disponible;1000;A
Voiture;BP-935-FW;Kia;Picanto;78;55717;En maintenance;5;Oui
CampingCar;FU-207-GS;Volkswagen;Caddy California;207;23309;Disponible;5.9;6
Moto;GE-360-BD;KTM;Duke 890;231;12767;Loué;1000;A
Voiture;KM-315-HZ;Mini;Clubman;36;60571;Disponible;5;Oui
Voiture;CE-931-OK;Toyota;Corolla;67;139709;Disponible;4;Oui
Moto;VX-476-RE;Suzuki;Hayabusa;145;4652;Disponible;125;A2
Voiture;AU-938-PJ;Mini;Clubman;86;56115;Disponible;7;Oui
CampingCar;AH-338-VJ;Citroën;Berlingo;382;75943;Loué;8.4;4
Voiture;VY-630-ZU;Ford;Explorer;55;152495;Disponible;5;Oui
Voiture;YB-036-EU;Mini;Countryman;57;46088;Disponible;5;Oui
Moto;CV-679-HD;Honda;CB500F;244;97543;Loué;650;A2
Moto;ZO-091-AT;Triumph;Trident 660;71;19729;Disponible;400;A2
Moto;LY-184-IT;Suzuki;V-Strom 650;81;61510;Disponible;1800;A
Moto;WX-866-RE;Ducati;Scrambler;199;96483;Disponible;650;A2
Voiture;RY-024-RP;Volvo;V60;111;158206;Disponible;5;Oui
Moto;VD-387-XV;Kawasaki;Z650;54;53309;Disponible;1800;A
Moto;TN-191-CV;Harley-Davidson;Fat Bob;192;8709;Disponible;650;A2
Voiture;QC-028-KM;Skoda;Fabia;130;73503;Disponible;5;Oui
Voiture;RE-123-FC;Opel;Grandland;31;157902;Disponible;9;Oui
Moto;HA-801-PO;Yamaha;MT-07;187;53193;Disponible;500;A2
Moto;VT-469-HW;Royal Enfield;Continental GT 650;235;32775;Loué;1000;A
Moto;CS-165-BI;KTM;Duke 125;88;64533;Disponible;1250;A
Voiture;GY-658-QS;Opel;Mokka;76;199267;Disponible;7;Oui
Voiture;GX-352-SO;Ford;Kuga;112;15778;Disponible;7;Oui
Voiture;SL-515-XW;Peugeot;208;60;151244;Disponible;2;Oui
Voiture;ZI-050-QE;Citroën;C5 X;97;32596;Loué;4;Oui
Moto;YN-116-SX;Triumph;Bonneville T120;138;98680;Loué;600;A2
Voiture;NB-158-VT;Hyundai;i10;150;182336;Disponible;5;Oui
Moto;OJ-545-JS;Kawasaki;Z650;235;23839;Loué;600;A2
Voiture;DC-321-AM;Hyundai;Bayon;172;34946;Disponible;4;Oui
Voiture;WF-712-TN;Ford;Explorer;167;87707;Disponible;5;Oui
Moto;XO-688-GC;Triumph;Tiger 1200;249;42759;En maintenance;600;A2
Voiture;GG-943-BU;Mini;Clubman;130;32754;Disponible;9;Oui
